metric-dataset,mode,r2,mse,inference 74k+
%util_-../datasets/ssd.csv,r2,0.6826801840522484,7.851189391224123,9.786892652511597
%util_-../datasets/ssd.csv,r2,0.33003349799610515,16.576443161288758,9.826798677444458
%util_-../datasets/ssd.csv,r2,0.33003349799610515,16.576443161288758,9.852153301239014
%util_-../datasets/ssd.csv,r2,0.5522185865735825,11.07909593411493,9.814624547958374
%util_-../datasets/ssd.csv,r2,0.5522185865735825,11.07909593411493,9.699189901351929
tps_-../datasets/nvme.csv,r2,0.8833473290057497,47410975.35710635,2.7229561805725098
tps_-../datasets/nvme.csv,r2,0.8833473290057497,47410975.35710635,2.6668667793273926
tps_-../datasets/nvme.csv,r2,0.9464792206211188,21752372.496900097,1.8396892547607422
tps_-../datasets/nvme.csv,r2,0.9464792206211188,21752372.496900097,1.5011513233184814
tps_-../datasets/nvme.csv,r2,0.9212189517999196,32018866.803359512,1.5503132343292236
tps_-../datasets/nvme.csv,r2,0.9212189517999196,32018866.803359512,1.4311277866363525
tps_-../datasets/nvme.csv,r2,0.9023534274539686,39686354.41629947,1.4276330471038818
tps_-../datasets/nvme.csv,r2,0.9023534274539686,39686354.41629947,1.440807819366455
tps_-../datasets/nvme.csv,r2,0.9042875543235924,38900270.046591625,1.386246681213379
tps_-../datasets/nvme.csv,r2,0.9042875543235924,38900270.046591625,1.3931074142456055
tps_-../datasets/nvme.csv,r2,0.8711035037148701,52387215.45683989,2.39994740486145
tps_-../datasets/nvme.csv,r2,0.8711035037148701,52387215.45683989,2.3818106651306152
tps_-../datasets/nvme.csv,r2,0.9163971453628826,33978586.57843751,1.4161560535430908
tps_-../datasets/nvme.csv,r2,0.9163971453628826,33978586.57843751,1.4588515758514404
tps_-../datasets/nvme.csv,r2,0.8768023454319542,50071043.508869305,2.194951057434082
tps_-../datasets/nvme.csv,r2,0.8768023454319542,50071043.508869305,1.9844815731048584
tps_-../datasets/nvme.csv,r2,0.8990840396461768,41015126.94646881,2.6919596195220947
tps_-../datasets/nvme.csv,r2,0.8990840396461768,41015126.94646881,2.5154316425323486
rd_sec/s_-../datasets/nvme.csv,r2,0.7455050880083091,230735052216.5442,2.395773410797119
rd_sec/s_-../datasets/nvme.csv,r2,0.7455050880083091,230735052216.5442,2.040266752243042
rd_sec/s_-../datasets/nvme.csv,r2,0.8980724960114452,92411466190.21228,1.4228661060333252
